respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_AB5EmgZmdeiU6Ln,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,No,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_cTvNIiRVSh4YsUN,Yes,Some,Strongly agree,Neither agree nor disagree,Strongly Agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_vCVdgVJn0QujPup,Yes,A little,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3G6t4Bd1NUPNqHP,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_20MwkVvZ51MXn9Y,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_4O9MpEXmM2cBqff,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_31mjlrWU4Ki7S3e,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_3OcCqXbWU47npeH,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_29oxKaKybevwqk3,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2wt61hHMVfHw73A,Yes,Nothing,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Not very acceptable,Very acceptable,No,No,No
R_3kzuWwJmo4vtuRz,Yes,Some,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3n5VPd2aA1julNr,Yes,Some,Strongly disagree,Somewhat agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_6A5398OUoTO4xjP,Yes,A little,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_UZ1XNTVGIJFZzwt,Yes,Nothing,Somewhat agree,Strongly disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_A7DURVEmzVHmnqF,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_3q8Yc0Q5gmWPCjN,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2wEu7suPYlbTFzR,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_eOJjJuKb0HiYThn,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,No,Yes,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_WrFuNkz6mtVM1mF,No,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_23fctseOQzdho8A,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_31c4bkaoC9oFDvy,Yes,Some,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2q4r0RxOeecndFE,Yes,Some,Strongly agree,Neither agree nor disagree,Strongly Agree,Strongly agree,Somewhat disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2VQIMTeuv64ZRBO,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1BWnt16crNsOMlO,Yes,A great deal,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Very acceptable,Yes,Yes,No
R_3dQy70InlDe4mf4,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_vTYnqkeMbLxWGQh,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_Tj8qurphwTEGlq1,Yes,Some,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2zYeahm7uSIvaw1,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_324Oz36PFhCB1d8,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,No,Yes,No
R_2Va79uuR8i01Ks7,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Very acceptable,No,No,No
R_1Q3XRdeZY67Xjmq,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_31NRGO3uf3DuiMx,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_d0tlwpZR45ArZSx,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_21acEC4BYGcYuOk,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2zHNh893WnMNhfo,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,Yes,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_SOANdp9Q0THBKtb,Yes,Some,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,Yes,No,Yes,Very acceptable,Very acceptable,Somewhat acceptable,No,No,No
R_27rMLm5gBTPREOA,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2vdeAnvwaeFAHHT,Yes,A little,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly agree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,Yes,Yes,Yes
R_UcPgcAIOR577UYN,Yes,A great deal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1QGYAYbNhtQJ2Hr,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Yes,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_2qymCxEhO5wj1PS,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1gCPmmaww0Tj7fx,No,Some,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,Yes,No,Yes
R_3Rrduwe5Vhu9Yzd,No,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3s0ldVvCOQ4W32X,Yes,A little,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2pJnCINKIXGlKG1,No,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Yes,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2CUIr9FzPnwiUXV,Yes,A little,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_271lXQb3BMuLIXG,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3CVma0KNE7BIJ1s,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Yes,No,No,Yes,Not very acceptable,Not at all acceptable,Very acceptable,No,No,No
R_29nvo6n4Fs1U06X,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1pnh5a1HstQwLq3,No,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_3oOaZAtnfK9YdwE,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_0IM30kdwHtw6DIZ,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_bCMbH8Z9RZZxcyt,Yes,A little,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,Yes,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_ODcGNUIVrh7u9Md,Yes,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_3OfDY3LpFwlUi2U,Yes,Some,Strongly disagree,Somewhat disagree,Strongly Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Very acceptable,No,No,No
R_1LpOe8EtyDvnQi1,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_22y4erc7aDeKsaW,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_afuJRokuDQc6qdj,Yes,A little,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_4JHwhsAY3UAmHLj,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1i4G6ibrr0McRuq,Yes,A little,Somewhat agree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Very acceptable,Somewhat acceptable,Not at all acceptable,No,Yes,No
R_1CJvz7qtt78Or5b,No,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3DdpZrzdbcWfFkx,Yes,Some,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_71BJAD7sk8ovxPb,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3O7hlyZWuLVerQB,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2ydrD21EU8tQkI3,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1l4tuKkFtbiHUxR,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_1QfP0XLOgeNXfwX,Yes,Some,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1dEvzIhnkYpwUPv,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3CN5F43xJQJe7nD,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_3ExT0w5OgO8v2eb,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,No,No,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_31HSh2SFE1F5VzC,No,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_cGdm8M6jpcp5H4B,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_33se6usaqfdgUBH,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_2pRAZnDihb3nZHX,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Yes,Yes,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1HjefsPZFanCmKg,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_bPhSn9zKuA9d94J,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,Yes
R_1hLlpkDl5uPq1ig,No,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_BGw6EjBF9AtkSxH,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_2QnR2iFfFQcNuN2,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_26c1yUQHjvU2Q2U,No,A little,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_ugl8IIlHavg4nxn,Yes,Some,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_1dLhzRLrLQahdcu,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Yes,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_3oA53RLFMm1tDdu,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,Yes,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1OiTA388VUshmQt,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1HC5bg3zcLvxQBz,Yes,Some,Strongly disagree,Somewhat agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_9U2MHIQx5zZzgNX,Yes,Some,Somewhat agree,Somewhat agree,Strongly Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_1QEeGK6Po5PpNZv,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
